price,TP_bool,DCA_bool,dca_orders_max,coin_bag,buy_prices,outflow,average_buy_price,realized_profit,price_deviation,dca_counter,price_deviation_target,step,idx
0,FALSE,FALSE,0,0,0,0,0,0,0,0,-0.01136594199248921,0,1
2,FALSE,FALSE,1,0,0,0,0,0,0,0,-0.01136594199248921,1,1
1.9750869720226225,FALSE,FALSE,9,50.00214451543634,2,100.00428903087268,2,0,0,0,-0.01136594199248921,2,1
1.8117941536309687,FALSE,TRUE,9,50.67158567301112,1.9750869720226225,100.08078871449244,1.9874606550371503,0,-0.012613635920986743,1,-0.011984446947206167,3,1
1.6780209574402405,FALSE,TRUE,9,86.5878266713794,1.8117941536309687,156.87931813881687,1.906234263295081,0,-0.09012768810651196,2,-0.013324260691468701,4,1
1.5511269720824532,FALSE,TRUE,9,146.5491440561698,1.6780209574402405,245.9125350211818,1.80604435163712,0,-0.0797208137345283,3,-0.01561999199815875,5,1
1.2736809312798483,FALSE,TRUE,9,248.51253005923795,1.5511269720824532,385.4744882753354,1.6972556934152818,0,-0.08180760675409234,4,-0.019307722795286184,6,1
1.3746155871122214,FALSE,TRUE,9,474.4057753816336,1.2736809312798483,604.2415897926176,1.5070968993875442,0,-0.2178300969959686,5,-0.025164822114327412,7,1
1.3130296640943504,FALSE,FALSE,9,474.4057753816336,1.2736809312798483,604.2415897926176,1.5070968993875442,0,0.0734275507848821,5,-0.025164822114327412,8,1
1.344571190839404,FALSE,FALSE,9,474.4057753816336,1.2736809312798483,604.2415897926176,1.5070968993875442,0,0.029967893255208777,5,-0.025164822114327412,9,1
1.3464640707180056,FALSE,FALSE,9,474.4057753816336,1.2736809312798483,604.2415897926176,1.5070968993875442,0,0.052723321786553805,5,-0.025164822114327412,10,1
1.0786315413924834,FALSE,FALSE,9,474.4057753816336,1.2736809312798483,604.2415897926176,1.5070968993875442,0,0.0540550178953869,5,-0.025164822114327412,11,1
1.080218641237544,FALSE,TRUE,9,878.1171765303858,1.0786315413924834,947.1648836441855,1.312640723112974,0,-0.18083041557969046,6,-0.034583523329666126,12,1
1.178012959652383,FALSE,FALSE,9,878.1171765303858,1.0786315413924834,947.1648836441855,1.312640723112974,0,0.0014692394525264072,6,-0.034583523329666126,13,1
1,FALSE,FALSE,9,878.1171765303858,1.0786315413924834,947.1648836441855,1.312640723112974,0,0.08436360351182025,6,-0.034583523329666126,14,1
1.0703042759264905,FALSE,TRUE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,-0.0786315413924834,7,-0.05011378095904726,15,1
1.1262421842196302,FALSE,FALSE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,0.0656862515714354,7,-0.05011378095904726,16,1
1.193902338064262,FALSE,FALSE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,0.11209150748256069,7,-0.05011378095904726,17,1
1.0837319647499233,FALSE,FALSE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,0.16241055225559423,7,-0.05011378095904726,18,1
1.0630470096266866,FALSE,FALSE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,0.07726261425651025,7,-0.05011378095904726,19,1
1.0477092868246551,FALSE,FALSE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,0.05930782839869616,7,-0.05011378095904726,20,1
1.0677895882537614,FALSE,FALSE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,0.04553676045885787,7,-0.05011378095904726,21,1
1.2444774564246937,FALSE,FALSE,9,1484.7063359485157,1,1484.7063359485157,1.1768979146827663,0,0.06348590490063019,7,-0.05011378095904726,22,1
1.1160578683014661,TRUE,FALSE,9,80.35845769209736,1.2444774564246937,100.00428903087268,1.2444774564246937,231.09179218537474,0.19644988759142507,0,-0.05011378095904726,23,1
1.2734148930846416,FALSE,TRUE,9,89.67347622109047,1.1160578683014661,100.08078871449244,1.1767499971359578,231.09179218537474,-0.11506534900261929,1,-0.05284084237140124,24,1
1.1258428911650658,TRUE,FALSE,9,78.53236959450699,1.2734148930846416,100.00428903087268,1.2734148930846416,16.436119199671793,0.12357090029158017,0,-0.05284084237140124,25,1
1.1802116683065402,FALSE,TRUE,9,88.89409836831227,1.1258428911650658,100.08078871449244,1.1950624066787245,16.436119199671793,-0.13107690520376486,1,-0.055716303361764065,26,1
1.2985996845832022,FALSE,FALSE,9,88.89409836831227,1.1258428911650658,100.08078871449244,1.1950624066787245,16.436119199671793,0.046066971375979565,1,-0.055716303361764065,27,1
1.1831024471568863,TRUE,FALSE,9,77.00932798468222,1.2985996845832022,100.00428903087268,1.2985996845832022,17.334880742031544,0.1330331398267545,0,-0.055716303361764065,28,1
1.3224681849443696,FALSE,TRUE,9,84.59181954614041,1.1831024471568863,100.08078871449244,1.2381414414597667,17.334880742031544,-0.09762234682538891,1,-0.058748239448586995,29,1
1.251773852437212,TRUE,FALSE,9,75.61942901112546,1.3224681849443696,100.00428903087268,1.3224681849443694,13.62729851464914,0.10538305524026334,0,-0.058748239448586995,30,1
1.251773852437212,FALSE,FALSE,9,75.61942901112546,1.3224681849443696,100.00428903087268,1.3224681849443694,13.62729851464914,-0.056475322894399244,0,-0.058748239448586995,30,1
0,FALSE,FALSE,0,0,0,0,0,0,0,0,-0.01136594199248921,0,2
1,FALSE,FALSE,1,0,0,0,0,0,0,0,-0.01136594199248921,1,2
1.1338321710506614,FALSE,FALSE,9,100.00428903087268,1,100.00428903087268,1,0,0,0,-0.01136594199248921,2,2
